Dia ,Notas Liga MX,Notas Seccion
2022-05-01,86,13
2022-05-02,89,15
2022-05-03,84,18
2022-05-04,72,15
2022-05-05,82,8
2022-05-06,90,9
2022-05-07,87,10
2022-05-08,78,11
2022-05-09,105,12
2022-05-10,81,12
2022-05-11,73,4
2022-05-12,94,10
2022-05-13,91,12
2022-05-14,87,7
2022-05-15,108,8
2022-05-16,103,5
2022-05-17,93,8
2022-05-18,95,6
2022-05-19,62,8
2022-05-20,89,11
2022-05-21,78,10
2022-05-22,75,5
2022-05-23,94,7
2022-05-24,84,9
2022-05-25,75,10
2022-05-26,73,10
2022-05-27,86,9
2022-05-28,80,12
2022-05-29,100,10
2022-05-30,88,9
2022-05-31,67,6
2022-06-01,71,11
2022-06-02,70,16
2022-06-03,63,22
2022-06-04,57,16
2022-06-05,33,20
2022-06-06,39,19
2022-06-07,46,17
2022-06-08,36,10
2022-06-09,38,15
2022-06-10,41,15
2022-06-11,23,12
2022-06-12,43,20
2022-06-13,40,17
2022-06-14,20,22
2022-06-15,24,23
2022-06-16,23,17
2022-06-17,21,18
2022-06-18,31,15
2022-06-19,15,15
2022-06-20,11,17
2022-06-21,16,15
2022-06-22,17,19
2022-06-23,26,14
2022-06-24,31,14
2022-06-25,29,14
2022-06-26,36,20
2022-06-27,58,15
2022-06-28,41,18
2022-06-29,52,16
2022-06-30,46,16
2022-07-01,22,16
2022-07-02,7,10
2022-07-03,3,16
2022-07-04,7,15
2022-07-05,21,18
2022-07-06,8,21
2022-07-07,17,20
2022-07-08,6,18
2022-07-09,5,18
2022-07-10,8,31
2022-07-11,16,22
2022-07-12,16,17
2022-07-13,5,23
2022-07-14,9,18
2022-07-15,1,11
2022-07-16,2,24
2022-07-17,0,25
2022-07-18,0,23
2022-07-19,0,15
2022-07-20,0,25
2022-07-21,0,21
2022-07-22,2,29
2022-07-23,3,23
2022-07-24,5,35
2022-07-25,26,32
2022-07-26,18,23
2022-07-27,21,33
2022-07-28,45,23
2022-07-29,42,26
2022-07-30,37,24
2022-07-31,46,31
2022-08-01,31,28
2022-08-02,32,24
2022-08-03,32,24
